"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein IDs","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Intensity","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"G3V7K3;A0A0G2K9I6;Q9JL97;P13635",32.0541441033132,12.8808709202457,92.6964906557286,6.09615786272882e-22,2.00329986134485e-20,"G3V7K3;A0A0G2K9I6;Q9JL97;P13635;CON__ENSEMBL:ENSBTAP00000031900","Ceruloplasmin","Cp","tr|G3V7K3|G3V7K3_RAT Ceruloplasmin OS=Rattus norvegicus OX=10116 GN=Cp PE=1 SV=1;tr|A0A0G2K9I6|A0A0G2K9I6_RAT Ceruloplasmin OS=Rattus norvegicus OX=10116 GN=Cp PE=1 SV=1;tr|Q9JL97|Q9JL97_RAT GPI-anchored ceruloplasmin OS=Rattus norvegicus OX=10116 PE=2 SV=",120.66,3148700000,0,0,0,0,0,409460000,425870000,823320000,715580000,774510000,0,0,0,0,0,8530500,8872400,17152000,14908000,16136000,0,0,0,0,0,625750000,643730000,606450000,564170000,574690000,0,0,0,0,0,40,38,57,52,54
"P30152",31.7418737891974,12.5686006085838,92.1553622646916,8.0131994453794e-22,2.00329986134485e-20,"P30152","Neutrophil gelatinase-associated lipocalin","Lcn2","sp|P30152|NGAL_RAT Neutrophil gelatinase-associated lipocalin OS=Rattus norvegicus OX=10116 GN=Lcn2 PE=1 SV=2",22.475,2732100000,0,0,0,0,0,570830000,425860000,624270000,543640000,567460000,0,0,0,0,0,114170000,85171000,124850000,108730000,113490000,0,0,0,0,0,535400000,437280000,4.85e+08,483580000,495290000,0,0,0,0,0,25,21,18,14,17
"Q9WTV1",31.7935626803362,12.6202894992771,92.2449331439285,7.65859800129441e-22,2.00329986134485e-20,"Q9WTV1","Chitinase-3-like protein 1","Chi3l1","sp|Q9WTV1|CH3L1_RAT Chitinase-3-like protein 1 OS=Rattus norvegicus OX=10116 GN=Chi3l1 PE=2 SV=3",42.392,2591300000,0,0,0,0,0,380510000,300400000,626060000,686060000,598280000,0,0,0,0,0,18119000,14305000,29812000,32670000,28490000,0,0,0,0,0,471890000,522720000,4.9e+08,553320000,480240000,0,0,0,0,0,33,34,37,38,32
"Q6P734",31.4081014811988,12.2348283038608,91.5769733958223,1.07334762293921e-21,2.01252679301101e-20,"Q6P734","Plasma protease C1 inhibitor","Serping1","sp|Q6P734|IC1_RAT Plasma protease C1 inhibitor OS=Rattus norvegicus OX=10116 GN=Serping1 PE=2 SV=1",55.611,1924300000,0,0,0,0,0,254700000,313580000,394250000,483090000,478710000,0,0,0,0,0,10188000,12543000,15770000,19324000,19148000,0,0,0,0,0,350390000,436160000,363520000,382110000,394320000,0,0,0,0,0,29,36,25,30,30
"G3V7N9;P31721",30.1816019955281,11.0083288394606,89.451591334128,3.14234193314891e-21,4.71351289972337e-20,"G3V7N9;P31721","Complement C1q subcomponent subunit B","C1qb","tr|G3V7N9|G3V7N9_RAT Adiponectin a OS=Rattus norvegicus OX=10116 GN=C1qb PE=1 SV=1;sp|P31721|C1QB_RAT Complement C1q subcomponent subunit B OS=Rattus norvegicus OX=10116 GN=C1qb PE=1 SV=2",26.647,803990000,0,0,0,0,0,148650000,123680000,163670000,185020000,182970000,0,0,0,0,0,11434000,9513800,12590000,14232000,14074000,0,0,0,0,0,189050000,161340000,140390000,168780000,163950000,0,0,0,0,0,7,9,6,9,7
"G3V7L3;D4A1S0;Q6P6T1",29.6595911288691,10.4863179890333,88.5470066466365,4.96411211341902e-21,5.80128997455869e-20,"G3V7L3;D4A1S0;Q6P6T1","Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain","C1s","tr|G3V7L3|G3V7L3_RAT Complement C1s subcomponent OS=Rattus norvegicus OX=10116 GN=C1s PE=1 SV=1;tr|D4A1S0|D4A1S0_RAT Complement C1s subcomponent OS=Rattus norvegicus OX=10116 GN=C1s PE=1 SV=3;sp|Q6P6T1|C1S_RAT Complement C1s subcomponent OS=Rattus norvegic",77.712,637360000,0,0,0,0,0,17885000,72579000,192360000,134270000,220270000,0,0,0,0,0,812950,3299000,8743600,6103300,10012000,0,0,0,0,0,0,126960000,156990000,142400000,154630000,0,0,0,0,0,8,9,17,15,19
"P14844",29.5604469663922,10.3871738303908,88.3752012324331,5.41453730958811e-21,5.80128997455869e-20,"P14844","C-C motif chemokine 2","Ccl2","sp|P14844|CCL2_RAT C-C motif chemokine 2 OS=Rattus norvegicus OX=10116 GN=Ccl2 PE=2 SV=1",16.46,620910000,0,0,0,0,0,140370000,54933000,131870000,1.09e+08,184740000,0,0,0,0,0,23395000,9155400,21978000,18167000,30789000,0,0,0,0,0,182460000,0,108690000,101210000,155200000,0,0,0,0,0,4,4,3,6,6
"B5DEH7;D4A1T6;Q4G030",29.1526013909769,9.97932827358721,87.6684518685857,7.73991207332011e-21,7.2561675687376e-20,"B5DEH7;D4A1T6;Q4G030",NA,"C1r","tr|B5DEH7|B5DEH7_RAT C1r protein OS=Rattus norvegicus OX=10116 GN=C1r PE=1 SV=1;tr|D4A1T6|D4A1T6_RAT Complement C1r OS=Rattus norvegicus OX=10116 GN=C1r PE=1 SV=3;tr|Q4G030|Q4G030_RAT C1r protein (Fragment) OS=Rattus norvegicus OX=10116 GN=C1r PE=2 SV=1",80.424,422240000,0,0,0,0,0,52809000,30473000,118040000,112490000,108430000,0,0,0,0,0,1320200,761820,2951000,2812200,2710800,0,0,0,0,0,89629000,61249000,86037000,89927000,78976000,0,0,0,0,0,8,7,12,11,13
"P15473;A0A0G2K4Q9",28.8178664341021,9.64459333662917,87.0883946295229,1.03777721374134e-20,8.64814344784447e-20,"P15473;A0A0G2K4Q9;A1A5Q9","Insulin-like growth factor-binding protein 3","Igfbp3","sp|P15473|IBP3_RAT Insulin-like growth factor-binding protein 3 OS=Rattus norvegicus OX=10116 GN=Igfbp3 PE=1 SV=2;tr|A0A0G2K4Q9|A0A0G2K4Q9_RAT Insulin-like growth factor-binding protein 3 OS=Rattus norvegicus OX=10116 GN=Igfbp3 PE=1 SV=1",31.68,380680000,0,17553000,0,0,0,56386000,14323000,64072000,90030000,138310000,0,1097100,0,0,0,3524200,895180,4004500,5626900,8644700,0,0,0,0,0,90510000,0,88856000,63148000,85704000,1,3,0,0,0,11,5,9,6,12
"Q6P6Q5;P08592;P08592-2",28.6201757679978,9.44690268449317,86.7458194274968,1.23404389590097e-20,9.25532921925724e-20,"Q6P6Q5;P08592;P08592-2","Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31","App","tr|Q6P6Q5|Q6P6Q5_RAT Amyloid-beta A4 protein OS=Rattus norvegicus OX=10116 GN=App PE=1 SV=1;sp|P08592|A4_RAT Amyloid-beta A4 protein OS=Rattus norvegicus OX=10116 GN=App PE=1 SV=2;sp|P08592-2|A4_RAT Isoform APP695 of Amyloid-beta A4 protein OS=Rattus norve",82.797,353490000,0,43281000,0,0,0,6127600,30526000,96852000,70775000,105930000,0,1352500,0,0,0,191490,953930,3026600,2211700,3310300,0,0,0,0,0,0,64245000,74528000,64659000,79249000,1,2,0,1,0,3,7,15,10,17
