Majority protein IDs,Protein IDs,Protein names,Gene names,logFC,PValue,FDR,AverageC_lfq,AverageR_lfq,AverageMS_C,AverageMS_R,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5
M0RBF1;M0RBJ7;P01026,M0RBF1;M0RBJ7;P01026,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,C3,7.998674741,0.001250215,0.055009476,8.85E+06,2.53E+09,3.40E+00,1.65E+02,0,44242000,0,0,0,2193800000,2558600000,2695400000,2578700000,2610600000,5,3,3,3,3,164,157,161,170,172
A0A096P6L8;P04937;P04937-3;F1LST1;P04937-2;P04937-4,A0A096P6L8;P04937;P04937-3;F1LST1;P04937-2;P04937-4;Q6LC76;P97624;Q9Z1G8,Fibronectin;Anastellin,Fn1,2.526008213,0.190726945,0.998404653,3.34E+07,2.22E+08,8.00E+00,3.68E+01,59396000,81525000,25935000,0,0,140250000,108090000,205410000,353640000,303980000,13,17,5,2,3,20,17,44,59,44
A0A0G2JV65;P63102,A0A0G2JV65;P63102,14-3-3 protein zeta/delta,Ywhaz,0.978457638,0.595299471,0.998404653,1.50E+07,3.34E+07,2.60E+00,5.00E+00,37991000,36808000,0,0,0,0,40266000,41867000,45087000,39791000,2,5,1,3,2,3,5,4,9,4
A0A0G2K506;Q1PBJ1;P70490,A0A0G2K506;Q1PBJ1;P70490,Lactadherin,Mfge8,-1.677471242,0.370710965,0.998404653,3.93E+07,1.45E+07,7.20E+00,4.00E+00,45012000,64265000,42212000,44954000,0,0,0,21636000,28221000,22404000,8,14,7,3,4,1,2,5,7,5
B6DYQ7;P04906,B6DYQ7;P04906;Q7TP35,Glutathione S-transferase P,Gstp1,0.05178772,0.977360491,0.998404653,4.68E+07,5.46E+07,7.00E+00,7.20E+00,61788000,61239000,0,61262000,49616000,50934000,52788000,56555000,56064000,56763000,9,5,6,6,9,5,8,6,10,7
D3ZJ08,D3ZJ08,Histone H3,Hist2h3c2,1.369792804,0.460998848,0.998404653,4.00E+07,1.27E+08,5.80E+00,1.14E+01,36621000,38823000,58319000,0,66007000,95127000,88085000,140230000,162220000,150270000,3,8,6,3,9,14,13,9,10,11
D4ACV3;M0RDM4;Q6I8Q6;M0RCL5;K7S2S2;K7R8M0;G3V9C0;D3ZVK7;A9UMV8;Q64598;Q4FZT6;Q00728;P0CC09;P0C170;P0C169;P02262;D3ZXP3;A0A0A0MXW3;D4AEC0;P0C0S7,D4ACV3;M0RDM4;Q6I8Q6;M0RCL5;K7S2S2;K7R8M0;G3V9C0;D3ZVK7;A9UMV8;Q64598;Q4FZT6;Q00728;P0CC09;P0C170;P0C169;P02262;D3ZXP3;A0A0A0MXW3;D4AEC0;P0C0S7;M0R6X5;D3ZWE0,Histone H2A;Histone H2A.J;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 4;Histone H2A type 2-A;Histone H2A type 1-E;Histone H2A type 1-C;Histone H2A type 1;Histone H2A.Z,Hist2h2ac;LOC680322;Hist1h2af;LOC100910554;Hist2h2aa2;Hist1h2ao;Hist1h2ac;Hist1h2ak;H2afj;Hist2h2aa3;H2afx;H2afz;H2afv,1.026401275,0.577742125,0.998404653,1.36E+08,3.25E+08,4.40E+00,9.40E+00,142370000,140160000,101550000,121740000,175490000,284010000,290420000,323530000,363670000,364410000,3,5,3,3,8,14,11,5,10,7
F1LM84,F1LM84;P08460,NA,Nid1,0.334758082,0.85461155,0.998404653,1.06E+08,1.53E+08,1.42E+01,2.22E+01,132430000,252910000,0,80593000,64691000,68341000,70744000,187070000,236620000,200760000,13,31,9,12,6,8,8,30,33,32
G3V6X1,G3V6X1,NA,Fbln2,-0.734193639,0.689017817,0.998404653,1.38E+07,9.38E+06,4.80E+00,3.40E+00,28587000,23272000,0,16914000,0,0,0,17477000,14304000,15122000,2,9,4,6,3,1,2,5,4,5
G3V7Z4;P07092,G3V7Z4;P07092;O88772,Glia-derived nexin,Serpine2,1.280180246,0.489881851,0.998404653,3.88E+07,1.12E+08,6.00E+00,1.34E+01,40739000,73051000,48340000,0,31802000,84596000,90712000,139600000,142940000,104580000,8,10,5,3,4,10,14,17,14,12
