"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein ID","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Sequence length","Sequence lengths","Score","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"A0A0G2K6J0;Q7TP88;Q4V8K1",31.2064404018966,6.95504147549379,91.4816217692714,1.12633418161878e-21,5.15297888090591e-19,"A0A0G2K6J0","Metalloreductase STEAP4","Steap4","tr|A0A0G2K6J0|A0A0G2K6J0_RAT Metalloreductase STEAP4 OS=Rattus norvegicus OX=10116 GN=Steap4 PE=1 SV=1;tr|Q7TP88|Q7TP88_RAT Ab1-219 OS=Rattus norvegicus OX=10116 GN=Steap4 PE=1 SV=1;sp|Q4V8K1|STEA4_RAT Metalloreductase STEAP4 OS=Rattus norvegicus OX=10116",43.785,391,"391;464;470",38.241,0,0,0,0,0,201180000,281010000,176510000,207950000,120470000,0,0,0,0,0,9579900,13382000,8405300,9902300,5736600,0,0,0,0,0,310760000,318400000,304210000,304370000,300500000,0,0,0,0,0,22,26,18,21,15
"D3ZYQ3",31.2814874445828,7.03008851726561,91.6116698945514,1.05469187019596e-21,5.15297888090591e-19,"D3ZYQ3",NA,"Tnfaip2","tr|D3ZYQ3|D3ZYQ3_RAT Similar to Tumor necrosis factor, alpha-induced protein 2 (Primary response gene B94 protein), isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Tnfaip2 PE=1 SV=2",78.436,691,"691",78.226,0,0,0,0,0,217590000,185150000,129450000,181730000,164270000,0,0,0,0,0,6044100,5143100,3595900,5048100,4563100,0,0,0,0,0,307800000,343930000,304510000,315550000,348140000,0,0,0,0,0,17,20,22,19,19
"F1LW83;M0R672",31.4882108210385,7.23681189143648,91.9698983664754,8.80050012137896e-22,5.15297888090591e-19,"F1LW83",NA,"Mpa2l;LOC498435","tr|F1LW83|F1LW83_RAT Guanylate-binding protein family member 6 OS=Rattus norvegicus OX=10116 GN=Gbp6 PE=1 SV=1;tr|M0R672|M0R672_RAT Guanylate-binding protein family member 6 OS=Rattus norvegicus OX=10116 GN=Gbp6 PE=1 SV=1",63.931,558,"558;476;105",85.542,0,0,0,0,0,299780000,237530000,202900000,260650000,125210000,0,0,0,0,0,11103000,8797500,7514900,9653800,4637400,0,0,0,0,0,431270000,4.48e+08,333110000,348700000,309540000,0,0,0,0,0,21,20,28,32,20
"M0RBJ7;M0RBF1;P01026",33.2697645805891,9.01836564046749,95.0571315425504,1.84969209112965e-22,5.15297888090591e-19,"M0RBJ7","Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2","C3","tr|M0RBJ7|M0RBJ7_RAT Complement C3 OS=Rattus norvegicus OX=10116 GN=C3 PE=1 SV=1;tr|M0RBF1|M0RBF1_RAT Complement C3 OS=Rattus norvegicus OX=10116 GN=C3 PE=1 SV=1;sp|P01026|CO3_RAT Complement C3 OS=Rattus norvegicus OX=10116 GN=C3 PE=1 SV=3",186.23,1662,"1662;1663;1663",323.31,0,0,0,0,0,794830000,564270000,608340000,885800000,624420000,0,0,0,0,0,7869600,5586800,6023200,8770300,6182400,0,0,0,0,0,1222300000,1131500000,1349500000,1397100000,1329300000,0,0,0,0,0,65,55,68,76,81
"P09034",32.3264615429523,8.07506260681267,93.4224930171123,4.22422759405313e-22,5.15297888090591e-19,"P09034","Argininosuccinate synthase","Ass1","sp|P09034|ASSY_RAT Argininosuccinate synthase OS=Rattus norvegicus OX=10116 GN=Ass1 PE=1 SV=1",46.496,412,"412",145.95,0,0,0,0,0,605720000,528530000,468230000,520900000,354120000,0,0,0,0,0,28844000,25168000,22297000,24805000,16863000,0,0,0,0,0,687410000,557330000,755830000,657790000,683930000,0,0,0,0,0,32,40,37,35,39
"Q5U2Z4",32.0376825158842,7.78628358158368,92.9220712981213,5.43945015492827e-22,5.15297888090591e-19,"Q5U2Z4",NA,"Nfkb2","tr|Q5U2Z4|Q5U2Z4_RAT Nuclear factor kappa B subunit 2 OS=Rattus norvegicus OX=10116 GN=Nfkb2 PE=1 SV=1",96.738,898,"898",221.2,0,5271900,0,2821100,0,397140000,326090000,243820000,366860000,186490000,0,135180,0,72337,0,10183000,8361300,6251700,9406600,4781700,0,0,0,0,0,501320000,539340000,555500000,607560000,534260000,0,0,0,0,0,32,27,28,32,28
"Q6AYB0",-31.450132450939,7.19873352176076,91.8705028266772,9.25381420770262e-22,5.15297888090591e-19,"Q6AYB0",NA,"Zc3h8","tr|Q6AYB0|Q6AYB0_RAT RCG27247 OS=Rattus norvegicus OX=10116 GN=Zc3h8 PE=1 SV=1",34.546,305,"305",2.0546,1268600000,2341600000,0,1206400000,1189500000,542360000,0,702570000,925460000,0,63430000,117080000,0,60321000,59474000,27118000,0,35129000,46273000,0,0,1847600000,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"Q9JKB7;Q9WTT6",31.5960542901625,7.3446553594917,92.1567790261173,8.00746477649936e-22,5.15297888090591e-19,"Q9JKB7","Guanine deaminase","Gda","tr|Q9JKB7|Q9JKB7_RAT Guanine deaminase OS=Rattus norvegicus OX=10116 GN=Gda PE=1 SV=1;sp|Q9WTT6|GUAD_RAT Guanine deaminase OS=Rattus norvegicus OX=10116 GN=Gda PE=1 SV=1",50.9,454,"454;454",80.101,0,0,0,0,0,360130000,289970000,311620000,326940000,168430000,0,0,0,0,0,13338000,10740000,11541000,12109000,6238100,0,0,0,0,0,365870000,370510000,472330000,414340000,392070000,0,0,0,0,0,35,28,34,27,29
"Q5XIU1",30.9399084068676,6.68850948410422,91.0197515775849,1.42245108074907e-21,5.78463439504623e-19,"Q5XIU1","Ankyrin repeat and BTB/POZ domain-containing protein 1","Abtb1","sp|Q5XIU1|ABTB1_RAT Ankyrin repeat and BTB/POZ domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Abtb1 PE=2 SV=1",54.064,478,"478",2.2355,0,0,0,2361100000,1547600000,14138000,13788000,1641300000,0,768130000,0,0,0,90812000,59523000,543780,530310,63125000,0,29543000,0,0,0,0,0,0,0,0,0,1260900000,0,0,0,2,2,2,0,3,0,2
"D3ZV82",30.1742348725583,5.92283596500035,89.6929250689033,2.78147920098793e-21,5.94541402693925e-19,"D3ZV82",NA,"LOC685067","tr|D3ZV82|D3ZV82_RAT Guanylate binding protein 7 OS=Rattus norvegicus OX=10116 GN=LOC685067 PE=1 SV=3",71.353,626,"626;620;633",46.502,0,0,0,0,0,138520000,116450000,57122000,73030000,50331000,0,0,0,0,0,4197400,3528900,1731000,2213000,1525200,0,0,0,0,0,176700000,162360000,143290000,106910000,161940000,0,0,0,0,0,18,15,11,14,13
