"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein ID","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Sequence length","Sequence lengths","Score","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"P29534;A0A0G2K127",8.228481129225,9.75786137168584,51.6500264183141,6.63297489445833e-13,1.40420078515683e-09,"P29534","Vascular cell adhesion protein 1","Vcam1","sp|P29534|VCAM1_RAT Vascular cell adhesion protein 1 OS=Rattus norvegicus OX=10116 GN=Vcam1 PE=1 SV=1;tr|A0A0G2K127|A0A0G2K127_RAT Vascular cell adhesion protein 1 OS=Rattus norvegicus OX=10116 GN=Vcam1 PE=1 SV=1",81.245,739,"739;606",323.31,16323000,11720000,8938200,32665000,6506400,1262700000,1128300000,985960000,1947300000,756810000,418540,300500,229190,837560,166830,32378000,28932000,25281000,49932000,19405000,8586200,6584300,3801700,13463000,3569500,1925600000,1950900000,2.023e+09,2810100000,2016300000,3,2,2,5,2,58,55,61,63,57
"D3ZF26",4.01037914954824,6.61062914767845,18.0837911448319,2.11393342400365e-05,0.0223759852930786,"D3ZF26",NA,"Tnks1bp1","tr|D3ZF26|D3ZF26_RAT Tankyrase 1-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Tnks1bp1 PE=1 SV=1",180.01,1705,"1705",163.39,12847000,13451000,2847900,21402000,12398000,162960000,122360000,147280000,143320000,75992000,160590,168140,35599,267530,154970,2037000,1529500,1841000,1791500,949900,12438000,15161000,0,27022000,16756000,248260000,213390000,276870000,263340000,142340000,3,4,0,5,4,24,27,25,22,23
"B0BN65",3.65897364155186,6.94967886747674,15.5561281836847,8.00916144907642e-05,0.0339107895753896,"B0BN65",NA,"Fam49a","tr|B0BN65|B0BN65_RAT Family with sequence similarity 49, member A OS=Rattus norvegicus OX=10116 GN=Fam49a PE=1 SV=1",37.328,323,"323",132.94,23094000,33087000,7866800,10438000,20376000,245060000,247810000,229940000,173060000,144440000,1283000,1838200,437050,579860,1132000,13615000,13767000,12774000,9614500,8024600,20589000,38694000,6432000,13442000,34641000,233910000,350790000,302070000,248120000,287280000,3,6,0,2,5,23,29,23,25,22
"P07895",3.69816325528029,10.2110593962748,15.8335973798416,6.91634612223273e-05,0.0339107895753896,"P07895","Superoxide dismutase [Mn], mitochondrial","Sod2","sp|P07895|SODM_RAT Superoxide dismutase [Mn], mitochondrial OS=Rattus norvegicus OX=10116 GN=Sod2 PE=1 SV=2",24.674,222,"222;72",323.31,227930000,234410000,181050000,173300000,152730000,2.837e+09,2650800000,1635200000,2073700000,1711900000,20721000,21310000,16459000,15755000,13884000,257910000,240980000,148650000,188520000,155620000,236680000,208570000,212850000,197140000,209190000,3282700000,2481600000,2342300000,2.564e+09,2968500000,16,11,13,13,10,76,86,77,62,72
"P70490;Q1PBJ1;A0A0G2K506",-3.75308322570213,8.27653999867575,16.2244043254685,5.62646184830935e-05,0.0339107895753896,"P70490","Lactadherin","Mfge8","sp|P70490|MFGM_RAT Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=2 SV=1;tr|Q1PBJ1|Q1PBJ1_RAT Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=1 SV=1;tr|A0A0G2K506|A0A0G2K506_RAT Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=1 SV=1",47.412,427,"427;483;467",323.31,1.012e+09,905880000,698070000,579180000,713470000,61037000,21363000,32261000,15431000,7052700,43998000,39386000,30351000,25182000,31021000,2653800,928820,1402600,670930,306640,799120000,674030000,777790000,635730000,738180000,94258000,44806000,73564000,31591000,21177000,53,49,47,46,54,10,8,5,6,5
"P15087;Q5U322;D4A8X4",-3.47471997557571,6.99265672724846,14.2681121751356,0.000158527878473524,0.0559339197880751,"P15087","Carboxypeptidase E","Cpe","sp|P15087|CBPE_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=1 SV=1;tr|Q5U322|Q5U322_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=2 SV=1;tr|D4A8X4|D4A8X4_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=1 SV",53.308,476,"476;476;474",92.6,345510000,425930000,327980000,233840000,263900000,17796000,19178000,17587000,10640000,10408000,14396000,17747000,13666000,9743300,10996000,741510,799070,732770,443350,433660,313620000,288010000,289350000,278330000,297310000,27344000,17206000,32996000,19860000,32678000,28,28,39,25,24,4,5,6,3,5
"F1LNL3;Q80ZB2",-3.27519251253269,7.25217646381924,12.9067258249588,0.000327403510463574,0.0990161759501982,"F1LNL3",NA,"Abca1","tr|F1LNL3|F1LNL3_RAT ATP-binding cassette subfamily A member 1 OS=Rattus norvegicus OX=10116 GN=Abca1 PE=1 SV=3;tr|Q80ZB2|Q80ZB2_RAT ATP-binding cassette 1 OS=Rattus norvegicus OX=10116 GN=Abca1 PE=2 SV=1",253.99,2261,"2261;2201",152.49,419310000,347030000,223640000,351750000,275640000,15948000,14933000,16423000,33284000,7828600,4031900,3336800,2150400,3382300,2650400,153350,143590,157910,320040,75275,411430000,313120000,261560000,371810000,375520000,28205000,26739000,32659000,65026000,25310000,31,35,28,33,30,4,4,5,10,3
"D4A051;Q63258-3;Q63258-2;Q63258",2.91951769650815,6.25059323854189,10.5791065626943,0.001143729208556,0.302659341814131,"D4A051","Integrin alpha-7;Integrin alpha-7 heavy chain;Integrin alpha-7 light chain;Integrin alpha-7 70 kDa form","Itga7","tr|D4A051|D4A051_RAT Integrin alpha-7 OS=Rattus norvegicus OX=10116 GN=Itga7 PE=3 SV=2;sp|Q63258-3|ITA7_RAT Isoform Alpha-7X1C of Integrin alpha-7 OS=Rattus norvegicus OX=10116 GN=Itga7;sp|Q63258-2|ITA7_RAT Isoform Alpha-7X1A of Integrin alpha-7 OS=Rattus",126.32,1160,"1160;1076;1116;1135",48.11,13265000,13941000,13101000,23757000,16528000,100890000,111040000,91182000,109540000,68069000,260090,273350,256880,465830,324070,1978300,2177300,1787900,2147800,1334700,14878000,23065000,17290000,27858000,28327000,141460000,209890000,151070000,152210000,180160000,2,2,2,6,3,14,21,16,17,13
"F1LMW3;Q8K3V3",-2.79269355358287,6.15009812348569,9.78393920889796,0.00176042760810827,0.362803780317423,"F1LMW3","G-protein coupled receptor 56;GPR56 N-terminal fragment;GPR56 C-terminal fragment","Adgrg1;Gpr56","tr|F1LMW3|F1LMW3_RAT Adhesion G-protein-coupled receptor G1 OS=Rattus norvegicus OX=10116 GN=Adgrg1 PE=1 SV=1;sp|Q8K3V3|AGRG1_RAT Adhesion G-protein coupled receptor G1 OS=Rattus norvegicus OX=10116 GN=Adgrg1 PE=1 SV=1",77.284,687,"687;687",67.139,153320000,223970000,121410000,119720000,138040000,15639000,4534900,7525400,11386000,5921400,6132600,8958800,4856200,4788700,5521600,625550,181390,301010,455430,236860,136090000,204340000,144720000,138320000,155470000,34375000,9242300,22647000,22167000,22429000,9,13,8,12,9,3,3,3,3,3
"P26376;Q9R176",2.82388867140318,7.52588281692058,9.97769178490985,0.00158448187605756,0.362803780317423,"P26376","Interferon-induced transmembrane protein 3","ifitm3;Ifitm3","sp|P26376|IFM3_RAT Interferon-induced transmembrane protein 3 OS=Rattus norvegicus OX=10116 GN=ifitm3 PE=2 SV=1;tr|Q9R176|Q9R176_RAT Interferon-inducible protein variant 10 OS=Rattus norvegicus OX=10116 GN=rCG_48058 PE=2 SV=1",14.971,137,"137;93;141",323.31,85086000,48968000,37113000,28063000,38100000,505880000,449550000,367420000,357860000,232750000,17017000,9793500,7422500,5612600,7619900,101180000,89909000,73485000,71572000,46551000,63910000,52705000,64202000,53631000,51910000,486940000,380370000,374680000,402310000,359390000,9,6,5,4,6,29,32,22,24,21
"P28572-1;P28572",-2.77233188650858,5.85297546290209,9.65814373268543,0.00188514009612265,0.362803780317423,"P28572-1","Sodium- and chloride-dependent glycine transporter 1","Slc6a9","sp|P28572-1|SC6A9_RAT Isoform 2 of Sodium- and chloride-dependent glycine transporter 1 OS=Rattus norvegicus OX=10116 GN=Slc6a9;sp|P28572|SC6A9_RAT Sodium- and chloride-dependent glycine transporter 1 OS=Rattus norvegicus OX=10116 GN=Slc6a9 PE=1 SV=2",70.57,633,"633;638",23.344,111190000,150720000,141680000,122560000,92604000,14917000,7890900,3906100,10854000,6813900,6540500,8865900,8334400,7209600,5447300,877470,464170,229770,638490,400820,108130000,130200000,137080000,125120000,132270000,35581000,0,0,28832000,26744000,6,7,6,7,6,2,0,0,2,2
"A0A0G2JV84;Q7TP13",-2.67390803353158,7.33414327013409,9.05760433762781,0.00261604514192715,0.461513963788316,"A0A0G2JV84",NA,"Gpt2","tr|A0A0G2JV84|A0A0G2JV84_RAT Glutamic--pyruvic transaminase 2 OS=Rattus norvegicus OX=10116 GN=Gpt2 PE=1 SV=1;tr|Q7TP13|Q7TP13_RAT Cc2-5 OS=Rattus norvegicus OX=10116 GN=Gpt2 PE=1 SV=1",60.288,544,"544;789",206.03,362140000,508830000,414370000,306920000,322960000,22321000,40301000,38255000,34347000,15147000,13412000,18846000,15347000,11367000,11961000,826700,1492600,1416900,1272100,561000,394970000,350530000,375120000,307340000,323720000,36420000,59258000,82498000,52905000,40838000,32,37,36,29,35,6,8,9,7,2
