"gene_names","logFC","logCPM","LR","PValue","FDR","TICI1","TICI2","TICI3","TICI4","TICI5","VEH1","VEH3","VEH4","VEH5","peptide_no","percent_sequence_coverage","mol_weight","q_value","score","intensity","msms_count","protein_ids","protein_names"
"Stau2",2.40360700174967,5.86904815723472,306.48495818086,1.27340566157677e-68,2.01070753962973e-65,24915,12003,26437,30416,57078,5704.4,4991.1,4440.4,7628.1,1,1.9,62.681,0.0031606,1.5315,233650000,1,"Q68SB1","Double-stranded RNA-binding protein Staufen homolog 2"
"Mx1",2.13282859018732,12.088623590606,248.390013119686,5.82687615334196e-56,4.60031872306347e-53,2488800,1840100,2304200,1818200,2083300,524300,473400,442450,542470,37,53.8,74.468,0,314.41,1.12e+11,150,"P18588","Interferon-induced GTP-binding protein Mx1"
"Mx2;Mx3",1.93961286049111,11.3315110937434,208.886896562984,2.40279338966492e-47,1.26467025409364e-44,1545800,1145100,1352100,865660,1167600,336370,327400,287430,361670,36,54.5,75.073,0,130.45,3.9326e+10,84,"P18589;P18590","Interferon-induced GTP-binding protein Mx2;Interferon-induced GTP-binding protein Mx3"
"Gbp2",1.74345968482033,11.2441615645552,171.541042417459,3.40875762442294e-39,1.34560707224095e-36,893090,1065300,1178500,1307300,1175600,401940,308780,313450,352610,24,43.1,67.108,0,249.62,3.8588e+10,90,"Q63663","Interferon-induced guanylate-binding protein 2"
"Oas1a",1.67538212058169,8.1249510191933,159.162548778459,1.72434536340063e-36,5.4454826576192e-34,126240,120200,128790,129500,134670,39677,38606,39575,47465,4,18.7,41.665,0,31.941,1.986e+09,13,"Q05961","2-5-oligoadenylate synthase 1A"
"Bst2",1.54717972663561,6.40876686585917,136.860509357352,1.29360503687415e-31,3.4043372553738e-29,37805,32015,48172,36166,37350,16503,13074,11908,12100,2,11,19.674,0,10.88,598060000,3,"Q811A2","Bone marrow stromal antigen 2"
"B2m",1.51897647895279,9.65064725495702,132.497539949356,1.16450893548687e-30,2.62679944161966e-28,347160,322750,355200,395300,382270,135800,124290,118340,138990,4,37.8,13.72,0,17.696,9539500000,18,"P07151","Beta-2-microglobulin"
"Ccl7",1.43809314440772,6.81862119518194,119.292853495606,9.03548746039811e-28,1.78337933749608e-25,29927,58473,41075,62812,57121,19232,17663,18082,20991,1,12.4,10.906,0,2.6932,74486000,2,"Q9QXY8","C-C motif chemokine 7"
"Oasl",1.42105550151348,7.98473748681627,116.748582840943,3.25865342511378e-27,5.71712639806074e-25,124780,97386,125300,106750,103260,45962,39947,39891,46027,4,10.4,58.968,0,26.263,1337200000,10,"G3V645","2-5-oligoadenylate synthase-like protein 1"
"na.6",1.40075906103232,9.14740893644202,113.65757743447,1.54871336165005e-26,2.44541839804542e-24,210780,242080,243110,289480,261830,89287,88708,90689,122130,7,21.6,41.83,0,27.62,7494600000,23,"P16391","RT1 class I histocompatibility antigen, AA alpha chain"
"Vcam1",1.29778369424628,10.616331989121,98.3033243205791,3.58962842364435e-23,5.15274843721312e-21,557590,618060,676070,715190,850690,343430,246830,257030,286140,14,26.8,81.245,0,107.98,9512800000,44,"P29534","Vascular cell adhesion protein 1"
"Tap1",1.28930202557231,7.41288577323455,96.9767082681956,7.01476843669571e-23,9.23026613461878e-21,63587,67368,89486,71916,76438,35874,28064,28557,31160,3,7.6,79.149,0,28.17,1.232e+09,9,"P36370","Antigen peptide transporter 1"
