"gene_names","logFC","logCPM","LR","PValue","FDR","neg_log_pvalue","p_value","difference","tici_veh","protein_ids","protein_names","peptides","percent_sequence_coverage","mol_wt_kda","score","intensity","ibaq","tici_1","tici_2","tici_3","tici_4","tici_5","veh_1","veh_2","veh_3","veh_4","veh_5","ms_ms_count"
"A2m",-0.0563875441569503,14.232142872118,0.0596788590551327,0.80700423858154,0.998239319257809,1.431761631,0.037003122,-0.376249504,0.770437855,"P06238","Alpha-2-macroglobulin",3,2.6,163.78,20.912,210280000,2730900,15.22222,15.06944,15.35055,15.13958,15.15936,15.86322,15.25946,15.93665,15.48359,15.27946,7
"Actg1;Actb;Actg2;Acta1;Actc1;Acta2",-0.0191142781676875,14.3670664014036,0.00760534395314888,0.93050568518445,0.998239319257809,0.028941036,0.935532683,0.027093887,1.018957506,"A0A0G2K3K2;P63260;P63259;P60711;P60710;A0A0G2K4M6;P63269;P63268;P68136;P68134;P68035;P68033;P62738;P62737","Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle",5,10.6,42.086,95.313,716120000,35806000,16.81933,17.22279,16.93255,17.55915,16.9331,16.47977,18.10613,16.79153,17.31645,16.63757,13
"Alx4",-0.0551825993623013,13.8048617280198,0.0408663672569337,0.839796086706097,0.998239319257809,0.232237392,0.58581786,-0.259444427,0.835409568,"D3ZEM1;O35137","Homeobox protein aristaless-like 4",1,2,42.73,1.5003,0,0,10.90655,10.55934,10.98363,11.01547,10.49706,9.492825,12.18039,11.30889,10.86374,11.41343,1
"Ankrd17",-0.00935240484775723,13.7955055578452,0.00116508637739599,0.972770805229349,0.998239319257809,0.065337318,0.860325276,0.090769577,1.064938101,"D4A0B4;A0A0G2JVW3;Q99NH0","Ankyrin repeat domain-containing protein 17",1,0.5,250.02,2.2956,0,0,9.426155,10.81044,11.10248,11.87333,11.20753,9.960385,10.94432,10.984,10.38485,11.69252,0
"Apoe",-0.0354682786171307,14.2815765811708,0.024528283892306,0.875548215561388,0.998239319257809,0.097534494,0.798850491,-0.157337761,0.896678207,"A0A0G2K151;P02650;P08226","Apolipoprotein E",9,23.4,41.199,45.331,1677700000,98690000,17.13278,15.42674,16.32033,15.34447,15.29268,17.81063,15.61776,16.29724,15.41034,15.16772,23
"B2m",0.0042632678251828,13.9797476396206,0.000280263543115944,0.986643179802753,0.998239319257809,2.281222558,0.005233322,0.225520134,1.169198703,"P07151","Beta-2-microglobulin",1,19.3,13.72,5.0222,28393000,4732200,12.66441,12.71072,12.81033,12.63162,12.68409,12.39403,12.55283,12.52816,12.31665,12.5819,3
"Bgn",-0.0223084931629382,14.2093815940381,0.00917885303298908,0.923674389192787,0.998239319257809,0.019162319,0.956836383,-0.009951401,0.99312595,"P47853;P28653","Biglycan",1,3,41.706,6.908,88971000,5233600,14.85168,15.63005,14.95799,14.75367,15.30353,14.93327,15.0839,15.14695,15.01171,15.37084,3
"C1qb",0.0418266253814335,14.1340744642521,0.0304297866126348,0.861518615298238,0.998239319257809,0.916531894,0.121190369,0.628758621,1.546233951,"G3V7N9;P31721;P14106","Complement C1q subcomponent subunit B",1,5.5,26.647,11.464,164640000,12665000,14.40671,14.59663,14.11343,14.46257,15.16472,12.6633,14.06457,14.20543,14.39676,14.2702,3
"C3",-0.0391213002921212,14.2421323932386,0.0289494230463653,0.864895868767838,0.998239319257809,0.128098788,0.744562591,-0.192213631,0.875261714,"M0RBJ7;M0RBF1;P01026","Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2",3,1.6,186.23,7.6281,116530000,1153800,16.73797,15.2392,15.27202,14.88791,14.86781,17.31341,15.1552,14.93342,14.87177,15.69217,5
"Cfb",0.0528808815653024,14.0715169876398,0.0463219933631158,0.829591551363755,0.998239319257809,2.337466006,0.00459763,0.703190804,1.62810168,"G3V615","C3/C5 convertase (fragment)",2,5.9,85.352,12.408,77806000,2223000,13.44785,13.93481,14.17662,14.06585,13.86048,12.812,13.40452,13.32953,13.4692,12.9544,3
"Cfb.1",0.0364042162222624,14.2144173140591,0.0245318531739716,0.875539234764596,0.998239319257809,2.331312449,0.004663238,0.612148476,1.528533822,"A0A0U1RRP9;Q7TP05","C3/C5 convertase",2,2.9,123.97,6.8011,86034000,1536300,15.51246,15.48466,15.72621,15.2683,15.35958,14.51313,14.84946,14.77802,14.79445,15.35539,6
"Chi3l1",-0.0570701593589143,14.3052859937065,0.0646672367435979,0.799265703347673,0.998239319257809,0.307182475,0.492966634,-0.405831337,0.754801222,"Q9WTV1","Chitinase-3-like protein 1",5,14.7,42.392,18.554,658400000,31352000,17.48777,15.77085,15.81537,15.53051,15.78107,18.20547,16.17406,15.92628,15.82582,16.2831,13
"Ckb",-0.0329546152260108,14.280068759066,0.0211503393961397,0.884370146221063,0.998239319257809,0.123244105,0.752932243,-0.129125214,0.914385725,"Q04447;P07335","Creatine kinase B-type",4,14.7,42.713,87.315,658490000,36583000,15.11579,16.11412,15.99469,16.32825,15.94076,14.86625,16.95605,16.05249,16.29566,15.96879,9
"Clec5a",0.0745995398522416,13.7926827632534,0.0739151238919782,0.785719395569155,0.998239319257809,0.412993616,0.386372657,0.726810932,1.65497673,"A0A0G2JTX6;D3ZPN6",NA,1,7.3,18.885,-2,0,0,9.958302,10.76271,11.87492,11.80401,11.48462,7.992852,11.34759,10.42649,12.20568,10.27788,0
"Clu",-0.00347874557278717,14.1740309859584,0.000217174211012194,0.988242135030592,0.998239319257809,0.397973458,0.399969193,0.183638191,1.135744399,"G3V836;P05371;Q06890;A0A0G2KB42","Clusterin;Clusterin;Clusterin beta chain;Clusterin alpha chain",2,6.3,51.42,13.723,128980000,6788300,15.04464,14.51902,14.98113,14.71639,14.64961,15.25992,14.26697,14.60196,14.27227,14.5915,6
"Col1a2",-0.0394458012004096,14.1759206853717,0.0279649119082451,0.867191340916226,0.998239319257809,0.492290966,0.321891148,-0.185985374,0.879048472,"A0A0G2K5E8;F1LS40;A0A0G2KAN1;Q01149;P02466","Collagen alpha-2(I) chain",2,3.1,120.04,9.413,52124000,777980,14.12494,14.76884,14.77892,14.65829,14.76513,14.35244,14.87792,14.89566,14.79972,15.10031,4
