"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein ID","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Sequence length","Sequence lengths","Score","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"P02696",10.0084428947156,9.12784904839762,29.192561161614,6.55303132454799e-08,0.00015497919082556,"P02696","Retinol-binding protein 1","Rbp1","sp|P02696|RET1_RAT Retinol-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Rbp1 PE=1 SV=2",15.834,135,"135",192.52,8974700,8089300,3508700,4122400,4512500,1697900000,1.209e+09,1.146e+09,1.438e+09,1130400000,997190,898810,389850,458050,501390,188660000,134340000,127330000,159780000,125600000,3557000,3239900,0,0,0,1663500000,1138400000,1219900000,1419400000,1489300000,2,2,2,0,2,57,58,58,42,63
"Q5PQW8;Q63663",8.94427662165992,9.27436343063045,25.325896549573,4.84164690458836e-07,0.000572524746467573,"Q5PQW8","Interferon-induced guanylate-binding protein 2","Gbp2","tr|Q5PQW8|Q5PQW8_RAT Guanylate binding protein 2 OS=Rattus norvegicus OX=10116 GN=Gbp2 PE=1 SV=1;sp|Q63663|GBP2_RAT Guanylate-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Gbp2 PE=1 SV=2",67.355,591,"591;589",323.31,0,13728000,8463800,13811000,2743000,1222700000,1081400000,910210000,1022600000,684640000,0,596860,367990,600490,119260,53161000,47017000,39574000,44459000,29767000,0,8886000,6899000,0,0,1987400000,1546300000,1375900000,1194900000,1554100000,0,3,2,0,0,60,61,61,62,56
"P29534;A0A0G2K127",8.23773430172552,9.7593654685677,22.764729742276,1.83095349477999e-06,0.00144340167171823,"P29534","Vascular cell adhesion protein 1","Vcam1","sp|P29534|VCAM1_RAT Vascular cell adhesion protein 1 OS=Rattus norvegicus OX=10116 GN=Vcam1 PE=1 SV=1;tr|A0A0G2K127|A0A0G2K127_RAT Vascular cell adhesion protein 1 OS=Rattus norvegicus OX=10116 GN=Vcam1 PE=1 SV=1",81.245,739,"739;606",323.31,16323000,11720000,8938200,32665000,6506400,1262700000,1128300000,985960000,1947300000,756810000,418540,300500,229190,837560,166830,32378000,28932000,25281000,49932000,19405000,8586200,6584300,3801700,13463000,3569500,1925600000,1950900000,2.023e+09,2810100000,2016300000,3,2,2,5,2,58,55,61,63,57
"D4AEG2",6.273122867148,7.0556723271707,15.7061164963417,7.39845381008903e-05,0.0352352136514565,"D4AEG2",NA,"Rab32","tr|D4AEG2|D4AEG2_RAT RAB32, member RAS oncogene family OS=Rattus norvegicus OX=10116 GN=Rab32 PE=1 SV=1",25.26,223,"223;211;167;204",75.783,4423500,3616500,2821800,18685000,2353700,385730000,346440000,186070000,235720000,152820000,294900,241100,188120,1245600,156910,25715000,23096000,12405000,15714000,10188000,0,0,0,21528000,0,405700000,344820000,253260000,295250000,329580000,0,0,0,2,0,25,29,23,23,19
"F1LS79;Q00657",6.26946905687534,5.97150582507576,15.6931605240759,7.44930521172441e-05,0.0352352136514565,"F1LS79","Chondroitin sulfate proteoglycan 4","Cspg4","tr|F1LS79|F1LS79_RAT Chondroitin sulfate proteoglycan 4 OS=Rattus norvegicus OX=10116 GN=Cspg4 PE=4 SV=1;sp|Q00657|CSPG4_RAT Chondroitin sulfate proteoglycan 4 OS=Rattus norvegicus OX=10116 GN=Cspg4 PE=1 SV=2",252.01,2326,"2326;2326",151.34,8391200,0,3223000,4796900,5216900,72166000,71744000,79358000,155070000,45839000,104890,0,40288,59961,65211,902070,896800,991970,1938400,572980,0,0,0,0,10041000,97173000,102980000,191800000,227940000,149310000,0,0,0,0,0,16,17,25,29,12
"G3V8K7;Q62771;Q62771-2",5.62539456904611,7.15432549981166,13.421606687993,0.000248742560907956,0.0980460260912195,"G3V8K7","Signal transducer and activator of transcription;Signal transducer and activator of transcription 5A","Stat5a","tr|G3V8K7|G3V8K7_RAT Signal transducer and activator of transcription OS=Rattus norvegicus OX=10116 GN=Stat5a PE=1 SV=1;sp|Q62771|STA5A_RAT Signal transducer and activator of transcription 5A OS=Rattus norvegicus OX=10116 GN=Stat5a PE=1 SV=1;sp|Q62771-2|ST",90.793,793,"793;793;740",109.07,9108200,21386000,14451000,8373200,4736300,183370000,226630000,164460000,236900000,133970000,222150,521600,352460,204220,115520,4472300,5527500,4011100,5778100,3267500,0,18783000,16802000,0,0,292040000,343040000,332520000,416130000,348980000,0,3,3,2,0,22,29,26,31,21
"D4A3D4",-5.20685848757615,5.52615694774852,11.9665297968647,0.000541647212444517,0.164454656723161,"D4A3D4",NA,"Abhd3","tr|D4A3D4|D4A3D4_RAT Abhydrolase domain containing 3 (Predicted) OS=Rattus norvegicus OX=10116 GN=Abhd3 PE=4 SV=2",46.229,411,"411",35.541,171820000,155130000,135070000,97790000,84240000,2824800,8026800,11082000,5698500,2753000,9545500,8618300,7504100,5432800,4680000,156940,445930,615640,316580,152940,123700000,111460000,118210000,112260000,97920000,0,15100000,0,0,0,16,14,16,9,9,2,2,0,2,0
"Q31257;Q31266;O19446;Q31274;Q31258",5.19245256100692,5.53810282570847,11.9168159579785,0.000556294821896527,0.164454656723161,"Q31257",NA,"RT1.A1(f);RT1.Al","tr|Q31257|Q31257_RAT RT1.A1(F) protein (Fragment) OS=Rattus norvegicus OX=10116 GN=RT1.A1(f) PE=2 SV=1;tr|Q31266|Q31266_RAT MHC class I RT1.Aw3 protein OS=Rattus norvegicus OX=10116 PE=2 SV=1;tr|O19446|O19446_RAT MHC class Ia protein OS=Rattus norvegicus O",39.245,347,"347;360;371;296;370;179;346;346;347;367;370;370;375;375;337;347;347;349;350;365;332;352;355;368;370;371;371;372;375;344;373",28,0,5956800,2726700,6965500,3177600,102830000,111250000,76380000,70179000,45102000,0,297840,136330,348270,158880,5141400,5562700,3819000,3508900,2255100,0,0,0,15680000,0,119490000,129170000,122300000,90737000,98998000,0,0,0,2,0,12,14,9,12,11
"Q5XIE8",-4.79981554350807,6.0193636053419,10.5732376077272,0.00114736601501762,0.301502291724074,"Q5XIE8","Integral membrane protein 2B;BRI2, membrane form;BRI2 intracellular domain;BRI2C, soluble form;Bri23 peptide","Itm2b","sp|Q5XIE8|ITM2B_RAT Integral membrane protein 2B OS=Rattus norvegicus OX=10116 GN=Itm2b PE=2 SV=1",30.314,266,"266",52.108,255350000,189570000,153080000,128210000,133570000,5512000,9666300,0,7397900,0,18239000,13541000,10934000,9158200,9540800,393720,690450,0,528420,0,204360000,155030000,141080000,146780000,138870000,0,15541000,0,12590000,0,27,19,18,16,13,0,3,0,4,0
"Q6MG19;A0A0G2JVT5;Q63474;A0A0G2K7S7;B2GVB6",-4.32672382178735,6.14134826897659,8.98978579883482,0.00271492822215845,0.642080524540474,"Q6MG19","Epithelial discoidin domain-containing receptor 1","Ddr1","tr|Q6MG19|Q6MG19_RAT Discoidin domain receptor family, member 1 OS=Rattus norvegicus OX=10116 GN=Ddr1 PE=4 SV=1;tr|A0A0G2JVT5|A0A0G2JVT5_RAT Epithelial discoidin domain-containing receptor 1 (Fragment) OS=Rattus norvegicus OX=10116 GN=Ddr1 PE=4 SV=1;sp|Q63",101.17,910,"910;890;910;873;890;244",73.094,134860000,152960000,151500000,213800000,124500000,0,5364500,9212200,10759000,0,3458000,3922100,3884600,5482200,3192200,0,137550,236210,275860,0,150340000,139800000,118030000,226840000,209930000,0,0,19418000,22415000,0,12,15,14,20,16,0,0,2,3,0
