"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein ID","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Sequence length","Sequence lengths","Score","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"M0RBJ7;M0RBF1;P01026",33.2617395848039,9.01036127938782,133.276456619351,7.86590833661281e-31,2.11907570588349e-27,"M0RBJ7","Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2","C3","tr|M0RBJ7|M0RBJ7_RAT Complement C3 OS=Rattus norvegicus OX=10116 GN=C3 PE=1 SV=1;tr|M0RBF1|M0RBF1_RAT Complement C3 OS=Rattus norvegicus OX=10116 GN=C3 PE=1 SV=1;sp|P01026|CO3_RAT Complement C3 OS=Rattus norvegicus OX=10116 GN=C3 PE=1 SV=3",186.23,1662,"1662;1663;1663",323.31,0,0,0,0,0,794830000,564270000,608340000,885800000,624420000,0,0,0,0,0,7869600,5586800,6023200,8770300,6182400,0,0,0,0,0,1222300000,1131500000,1349500000,1397100000,1329300000,0,0,0,0,0,65,55,68,76,81
"P09034",32.3184515060029,8.06707320459346,130.983949072657,2.49616483969435e-30,3.1932138794646e-27,"P09034","Argininosuccinate synthase","Ass1","sp|P09034|ASSY_RAT Argininosuccinate synthase OS=Rattus norvegicus OX=10116 GN=Ass1 PE=1 SV=1",46.496,412,"412",145.95,0,0,0,0,0,605720000,528530000,468230000,520900000,354120000,0,0,0,0,0,28844000,25168000,22297000,24805000,16863000,0,0,0,0,0,687410000,557330000,755830000,657790000,683930000,0,0,0,0,0,32,40,37,35,39
"Q5U2Z4",32.0294308382488,7.77805253869196,130.281531554528,3.55591746042828e-30,3.1932138794646e-27,"Q5U2Z4",NA,"Nfkb2","tr|Q5U2Z4|Q5U2Z4_RAT Nuclear factor kappa B subunit 2 OS=Rattus norvegicus OX=10116 GN=Nfkb2 PE=1 SV=1",96.738,898,"898",221.2,0,5271900,0,2821100,0,397140000,326090000,243820000,366860000,186490000,0,135180,0,72337,0,10183000,8361300,6251700,9406600,4781700,0,0,0,0,0,501320000,539340000,555500000,607560000,534260000,0,0,0,0,0,32,27,28,32,28
"F1LW83;M0R672",31.4802754250335,7.22889713020175,128.946899014813,6.96572266382905e-30,3.75313137127109e-27,"F1LW83",NA,"Mpa2l;LOC498435","tr|F1LW83|F1LW83_RAT Guanylate-binding protein family member 6 OS=Rattus norvegicus OX=10116 GN=Gbp6 PE=1 SV=1;tr|M0R672|M0R672_RAT Guanylate-binding protein family member 6 OS=Rattus norvegicus OX=10116 GN=Gbp6 PE=1 SV=1",63.931,558,"558;476;105",85.542,0,0,0,0,0,299780000,237530000,202900000,260650000,125210000,0,0,0,0,0,11103000,8797500,7514900,9653800,4637400,0,0,0,0,0,431270000,4.48e+08,333110000,348700000,309540000,0,0,0,0,0,21,20,28,32,20
"Q9JKB7;Q9WTT6",31.587463978564,7.33608568266355,129.20740328962,6.10895165537615e-30,3.75313137127109e-27,"Q9JKB7","Guanine deaminase","Gda","tr|Q9JKB7|Q9JKB7_RAT Guanine deaminase OS=Rattus norvegicus OX=10116 GN=Gda PE=1 SV=1;sp|Q9WTT6|GUAD_RAT Guanine deaminase OS=Rattus norvegicus OX=10116 GN=Gda PE=1 SV=1",50.9,454,"454;454",80.101,0,0,0,0,0,360130000,289970000,311620000,326940000,168430000,0,0,0,0,0,13338000,10740000,11541000,12109000,6238100,0,0,0,0,0,365870000,370510000,472330000,414340000,392070000,0,0,0,0,0,35,28,34,27,29
"A0A0G2K6J0;Q7TP88;Q4V8K1",31.1983555939905,6.94697730237962,128.2617388985,9.83753675678413e-30,3.78604628896806e-27,"A0A0G2K6J0","Metalloreductase STEAP4","Steap4","tr|A0A0G2K6J0|A0A0G2K6J0_RAT Metalloreductase STEAP4 OS=Rattus norvegicus OX=10116 GN=Steap4 PE=1 SV=1;tr|Q7TP88|Q7TP88_RAT Ab1-219 OS=Rattus norvegicus OX=10116 GN=Steap4 PE=1 SV=1;sp|Q4V8K1|STEA4_RAT Metalloreductase STEAP4 OS=Rattus norvegicus OX=10116",43.785,391,"391;464;470",38.241,0,0,0,0,0,201180000,281010000,176510000,207950000,120470000,0,0,0,0,0,9579900,13382000,8405300,9902300,5736600,0,0,0,0,0,310760000,318400000,304210000,304370000,300500000,0,0,0,0,0,22,26,18,21,15
"D3ZYQ3",31.2734255109966,7.02204721846507,128.444184075012,8.97356211291103e-30,3.78604628896806e-27,"D3ZYQ3",NA,"Tnfaip2","tr|D3ZYQ3|D3ZYQ3_RAT Similar to Tumor necrosis factor, alpha-induced protein 2 (Primary response gene B94 protein), isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Tnfaip2 PE=1 SV=2",78.436,691,"691",78.226,0,0,0,0,0,217590000,185150000,129450000,181730000,164270000,0,0,0,0,0,6044100,5143100,3595900,5048100,4563100,0,0,0,0,0,307800000,343930000,304510000,315550000,348140000,0,0,0,0,0,17,20,22,19,19
"D3ZV82",30.1665630367014,5.91518476404099,125.754135454304,3.48039035655673e-29,7.14348972772969e-27,"D3ZV82",NA,"LOC685067","tr|D3ZV82|D3ZV82_RAT Guanylate binding protein 7 OS=Rattus norvegicus OX=10116 GN=LOC685067 PE=1 SV=3",71.353,626,"626;620;633",46.502,0,0,0,0,0,138520000,116450000,57122000,73030000,50331000,0,0,0,0,0,4197400,3528900,1731000,2213000,1525200,0,0,0,0,0,176700000,162360000,143290000,106910000,161940000,0,0,0,0,0,18,15,11,14,13
"E9PT22",30.0738351974265,5.82245692723433,125.528775560851,3.89895084975276e-29,7.14348972772969e-27,"E9PT22",NA,NA,"tr|E9PT22|E9PT22_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 GN=Inf2 PE=1 SV=3",136.46,1246,"1246",77.91,0,3932100,3024600,3962200,2496300,107020000,71828000,69467000,95371000,50163000,0,74190,57067,74758,47101,2019200,1355200,1310700,1799500,946470,0,0,0,0,0,150810000,145580000,141030000,137190000,130920000,0,0,0,0,0,18,9,14,17,15
"F1M9F6;B5DF73",29.9553623049596,5.70398403814969,125.24084650963,4.5077700583298e-29,7.14348972772969e-27,"F1M9F6",NA,"Gbp5","tr|F1M9F6|F1M9F6_RAT Guanylate-binding protein 5 OS=Rattus norvegicus OX=10116 GN=Gbp5 PE=1 SV=1;tr|B5DF73|B5DF73_RAT Gbp5 protein (Fragment) OS=Rattus norvegicus OX=10116 GN=Gbp5 PE=2 SV=1",66.956,586,"586;404",25.146,0,0,0,0,0,100570000,99048000,66620000,77977000,43872000,0,0,0,0,0,3868100,3809500,2562300,2999100,1687400,0,0,0,0,0,165750000,142050000,121270000,99910000,120270000,0,0,0,0,0,13,12,15,11,12
"M0R3N4",30.0950228782142,5.84364460744755,125.580268764426,3.7990801920973e-29,7.14348972772969e-27,"M0R3N4",NA,"Vat1l","tr|M0R3N4|M0R3N4_RAT Vesicle amine transport 1-like OS=Rattus norvegicus OX=10116 GN=Vat1l PE=1 SV=2",41.602,378,"378",50.052,0,0,0,0,0,66526000,123940000,155240000,141090000,58483000,0,0,0,0,0,3695900,6885600,8624200,7838400,3249000,0,0,0,0,0,123590000,135830000,164750000,155790000,136500000,0,0,0,0,0,11,14,13,13,12
"M0RC17",30.0022572527822,5.75087898460065,125.35481703583,4.25616921965111e-29,7.14348972772969e-27,"M0RC17",NA,"Chl1","tr|M0RC17|M0RC17_RAT Cell adhesion molecule L1-like OS=Rattus norvegicus OX=10116 GN=Chl1 PE=1 SV=2",135.61,1210,"1210;144",100.78,0,0,0,0,0,75125000,67981000,70506000,70354000,71667000,0,0,0,0,0,1318000,1192600,1236900,1234300,1257300,0,0,0,0,0,129600000,107610000,131400000,148780000,153670000,0,0,0,0,0,9,14,12,12,12
"Q00238",30.4298685861906,6.1784903073463,126.39405664705,2.5210733177404e-29,7.14348972772969e-27,"Q00238","Intercellular adhesion molecule 1","Icam1","sp|Q00238|ICAM1_RAT Intercellular adhesion molecule 1 OS=Rattus norvegicus OX=10116 GN=Icam1 PE=2 SV=1",60.141,545,"545",57.053,0,0,0,0,0,75291000,80751000,91491000,174700000,77606000,0,0,0,0,0,3011600,3230000,3659600,6987900,3104200,0,0,0,0,0,171810000,175940000,186040000,189900000,179490000,0,0,0,0,0,9,8,8,12,11
"Q68FU7",-29.9705649462206,5.71918667898395,125.270108974126,4.44178507180312e-29,7.14348972772969e-27,"Q68FU7","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial","Coq6","sp|Q68FU7|COQ6_RAT Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial OS=Rattus norvegicus OX=10116 GN=Coq6 PE=2 SV=1",51.495,476,"476",5.1741,13575000,700740000,5926200,10738000,9562200,2513700,1822700,0,2678400,0,754140,38930000,329230,596560,531240,139650,101260,0,148800,0,0,155020000,115800000,202740000,185010000,0,0,0,0,0,4,5,2,2,3,0,2,0,0,0
"Q6P734",30.3534644432633,6.10208616610109,126.208368840953,2.76835291576929e-29,7.14348972772969e-27,"Q6P734","Plasma protease C1 inhibitor","Serping1","sp|Q6P734|IC1_RAT Plasma protease C1 inhibitor OS=Rattus norvegicus OX=10116 GN=Serping1 PE=2 SV=1",55.611,504,"504",123.22,0,0,0,0,0,80878000,102850000,78229000,142060000,63546000,0,0,0,0,0,3235100,4114200,3129100,5682200,2541800,0,0,0,0,0,158290000,171070000,146980000,204200000,176280000,0,0,0,0,0,9,14,19,18,15
